farm_id,region,crop_type,planting_date,harvest_date,area_ha,yield_kg,irrigation_type,soil_type,fertilizer_used,pesticide_used,rainfall_mm,avg_temperature_c,farmer_age,organic,planting_year,harvest_year,planting_month,growing_days,days_since_harvest
32,North,Rice,2022-05-09,2022-10-04,26.9,123131,Drip,Silt,Organic,Fungicide,920.8,34.2,47,no,2022,2022,2022-05,148,981
33,North,Soybean,2021-03-27,2021-07-09,20.58,47211,Sprinkler,Silt,Mixed,None,487.5,25.3,55,no,2021,2021,2021-03,104,1433
34,East,Soybean,2022-07-08,2022-11-08,8.87,19396,Flood,Clay,Organic,Insecticide,267.1,11.4,50,no,2022,2022,2022-07,123,946
35,East,Cotton,2023-04-21,2023-10-13,48.88,72500,Sprinkler,Clay,Mixed,Fungicide,1359.7,24.0,69,yes,2023,2023,2023-04,175,607
36,South,Wheat,2021-07-23,2021-12-22,42.74,130577,Sprinkler,Peat,Nitrogen-based,Herbicide,904.3,16.9,56,no,2021,2021,2021-07,152,1267
37,South,Corn,2024-07-15,2024-12-19,25.17,134384,Drip,Silt,Nitrogen-based,Insecticide,338.2,19.2,45,no,2024,2024,2024-07,157,174
38,West,Corn,2024-11-15,2025-05-05,30.36,121661,Drip,Clay,Organic,Herbicide,1381.5,21.5,41,No,2024,2025,2024-11,171,37
39,West,Soybean,2020-01-14,2020-05-23,11.75,35633,Unknown,Clay,Phosphate-based,None,494.4,29.4,53,no,2020,2020,2020-01,130,1845
40,South,Soybean,2024-04-03,2024-09-16,27.42,60094,Drip,Loam,Phosphate-based,Insecticide,1067.1,22.6,53,No,2024,2024,2024-04,166,268
41,South,Soybean,2024-07-08,2024-11-24,34.9,59720,Unknown,Peat,Nitrogen-based,Fungicide,681.8,21.9,46,yes,2024,2024,2024-07,139,199
42,South,Cotton,2020-11-22,2021-05-09,26.0,63659,Drip,Sandy,None,None,1870.2,17.5,43,no,2020,2021,2020-11,168,1494
43,South,Cotton,2023-11-30,2024-04-18,49.52,69728,Drip,Loam,Mixed,Mixed,533.7,23.5,38,no,2023,2024,2023-11,140,419
44,South,Soybean,2022-05-15,2022-10-27,30.76,88021,Drip,Silt,Mixed,Herbicide,897.8,16.2,63,no,2022,2022,2022-05,165,958
45,East,Soybean,2021-11-27,2022-03-11,18.86,52250,Unknown,Peat,Nitrogen-based,None,1923.0,16.5,47,no,2021,2022,2021-11,104,1188
46,West,Corn,2021-07-23,2021-12-04,38.72,202879,Sprinkler,Peat,Phosphate-based,Herbicide,705.6,28.9,65,No,2021,2021,2021-07,134,1285
47,South,Corn,2020-11-14,2021-03-29,8.94,41194,Sprinkler,Peat,Nitrogen-based,Herbicide,1324.7,18.6,26,yes,2020,2021,2020-11,135,1535
48,West,Rice,2021-03-16,2021-08-11,19.53,84011,None,Clay,Organic,None,701.8,11.3,56,no,2021,2021,2021-03,148,1400
49,North,Soybean,2024-04-12,2024-09-28,17.67,51122,Flood,Sandy,None,Fungicide,310.3,18.6,62,No,2024,2024,2024-04,169,256
50,East,Barley,2021-11-20,2022-03-12,21.87,52180,None,Loam,Nitrogen-based,Insecticide,1292.3,26.0,57,No,2021,2022,2021-11,112,1187
51,West,Cotton,2020-07-28,2021-01-20,39.2,89882,Flood,Clay,Mixed,Insecticide,1840.5,30.3,31,no,2020,2021,2020-07,176,1603
52,East,Cotton,2020-07-08,2021-01-04,24.47,55773,Unknown,Loam,Unknown,Mixed,959.9,34.0,58,Yes,2020,2021,2020-07,180,1619
53,South,Soybean,2022-02-17,2022-06-25,39.8,103873,Flood,Peat,Nitrogen-based,Insecticide,1289.7,28.7,28,no,2022,2022,2022-02,128,1082
54,West,Wheat,2020-07-17,2021-01-01,29.04,80089,Unknown,Silt,Mixed,Herbicide,1256.9,20.7,47,No,2020,2021,2020-07,168,1622
55,North,Barley,2022-01-05,2022-06-19,17.43,55652,Sprinkler,Peat,Organic,Herbicide,888.7,17.5,44,no,2022,2022,2022-01,165,1088
56,South,Corn,2024-10-01,2025-01-09,40.59,218424,Drip,Peat,Organic,Herbicide,1268.3,13.2,46,no,2024,2025,2024-10,100,153
57,South,Cotton,2021-12-05,2022-05-30,12.3,20851,Sprinkler,Sandy,Phosphate-based,Insecticide,592.7,25.7,70,No,2021,2022,2021-12,176,1108
58,West,Corn,2023-05-21,2023-09-05,11.61,54851,Drip,Loam,Organic,Herbicide,818.3,22.7,53,no,2023,2023,2023-05,107,645
59,North,Rice,2021-06-25,2021-11-02,25.47,114396,None,Clay,Organic,Insecticide,940.4,26.9,67,yes,2021,2021,2021-06,130,1317
60,West,Corn,2024-07-10,2024-10-23,13.41,68202,Sprinkler,Peat,Nitrogen-based,Fungicide,1741.6,15.9,65,No,2024,2024,2024-07,105,231
61,South,Corn,2020-03-29,2020-07-27,0.95,5523,None,Clay,Nitrogen-based,Fungicide,761.8,18.1,61,no,2020,2020,2020-03,120,1780
62,South,Corn,2024-02-03,2024-06-11,32.59,154599,Flood,Sandy,Mixed,Fungicide,1306.8,17.3,27,no,2024,2024,2024-02,129,365
63,South,Cotton,2022-07-29,2022-11-10,25.8,43860,None,Sandy,Phosphate-based,Herbicide,505.5,29.9,46,no,2022,2022,2022-07,104,944
64,North,Corn,2023-01-03,2023-04-26,22.55,149849,Drip,Peat,Nitrogen-based,None,579.9,14.3,44,no,2023,2023,2023-01,113,777
65,South,Barley,2020-09-12,2021-01-27,48.36,101267,Sprinkler,Clay,Nitrogen-based,Insecticide,1332.0,25.2,49,No,2020,2021,2020-09,137,1596
66,West,Soybean,2025-03-03,2025-08-28,28.77,66532,Drip,Clay,Mixed,Herbicide,1548.4,11.3,58,no,2025,2025,2025-03,178,-78
67,South,Rice,2022-02-14,2022-06-02,43.24,180217,Drip,Clay,Organic,None,978.0,23.7,66,no,2022,2022,2022-02,108,1105
68,West,Wheat,2020-06-10,2020-11-12,7.4,25483,Sprinkler,Loam,Organic,Insecticide,736.7,11.6,53,no,2020,2020,2020-06,155,1672
69,West,Soybean,2023-02-04,2023-06-23,28.68,78652,Sprinkler,Loam,Mixed,Herbicide,1829.5,14.4,34,No,2023,2023,2023-02,139,719
70,South,Wheat,2021-08-23,2022-01-13,43.46,175581,Flood,Clay,Mixed,Fungicide,358.0,12.8,63,no,2021,2022,2021-08,143,1245
71,West,Soybean,2024-08-25,2025-02-07,29.36,72105,Drip,Clay,Organic,Herbicide,1469.4,18.7,61,no,2024,2025,2024-08,166,124
72,South,Wheat,2023-07-11,2023-10-26,36.04,93961,Sprinkler,Clay,Organic,Mixed,1411.3,18.6,64,Yes,2023,2023,2023-07,107,594
73,West,Soybean,2023-06-20,2023-11-30,18.92,45741,Drip,Loam,Nitrogen-based,Fungicide,1411.5,30.7,44,Yes,2023,2023,2023-06,163,559
74,West,Corn,2024-12-18,2025-05-06,5.08,24180,Drip,Sandy,None,None,1877.3,15.6,62,No,2024,2025,2024-12,139,36
75,South,Cotton,2024-10-30,2025-03-23,23.17,45865,Sprinkler,Sandy,Phosphate-based,Insecticide,1483.6,12.2,47,no,2024,2025,2024-10,144,80
76,East,Cotton,2022-01-10,2022-05-03,20.03,34156,Drip,Peat,None,Insecticide,673.0,25.1,35,No,2022,2022,2022-01,113,1135
77,South,Wheat,2023-03-28,2023-08-27,43.42,145579,Drip,Peat,None,Fungicide,771.5,27.2,32,no,2023,2023,2023-03,152,654
78,North,Corn,2021-01-28,2021-07-18,12.58,66398,Drip,Sandy,Nitrogen-based,Insecticide,843.1,17.4,53,No,2021,2021,2021-01,171,1424
79,West,Cotton,2023-12-13,2024-05-19,48.35,78367,Sprinkler,Sandy,Mixed,Insecticide,158.5,25.1,60,Yes,2023,2024,2023-12,158,388
80,South,Corn,2020-05-22,2020-11-16,47.93,274448,Flood,Peat,Nitrogen-based,Insecticide,1835.7,29.4,49,no,2020,2020,2020-05,178,1668
81,West,Cotton,2020-04-03,2020-09-22,12.76,22413,Sprinkler,Sandy,Nitrogen-based,Herbicide,239.7,18.7,63,No,2020,2020,2020-04,172,1723
82,South,Soybean,2023-09-16,2024-01-06,17.73,36460,Drip,Peat,Mixed,Mixed,1429.6,23.1,58,no,2023,2024,2023-09,112,522
83,South,Cotton,2021-04-11,2021-09-19,44.83,90834,Sprinkler,Sandy,Nitrogen-based,Herbicide,1487.3,13.7,56,No,2021,2021,2021-04,161,1361
84,South,Barley,2024-05-02,2024-08-21,48.35,99683,Sprinkler,Silt,Nitrogen-based,None,1703.1,10.6,65,No,2024,2024,2024-05,111,294
85,South,Rice,2021-08-15,2022-01-14,22.45,97740,None,Loam,Nitrogen-based,Herbicide,1151.4,34.5,47,No,2021,2022,2021-08,152,1244
86,South,Soybean,2020-06-12,2020-10-16,16.39,23526,None,Silt,Organic,Mixed,1478.0,17.5,45,no,2020,2020,2020-06,126,1699
87,West,Wheat,2024-10-17,2025-02-01,26.54,67326,Unknown,Sandy,Nitrogen-based,Insecticide,675.2,17.0,43,No,2024,2025,2024-10,107,130
88,South,Rice,2021-04-21,2021-08-12,34.54,170803,Drip,Sandy,Nitrogen-based,Fungicide,1516.6,34.3,49,no,2021,2021,2021-04,113,1399
89,West,Barley,2024-11-09,2025-03-19,14.04,35262,Flood,Clay,Organic,Mixed,752.5,28.2,47,yes,2024,2025,2024-11,130,84
90,South,Soybean,2020-07-25,2020-12-19,36.96,85309,Drip,Loam,Organic,Mixed,1815.4,24.6,43,No,2020,2020,2020-07,147,1635
91,South,Wheat,2022-02-17,2022-08-05,3.06,10933,Drip,Clay,Organic,Insecticide,410.4,27.5,29,no,2022,2022,2022-02,169,1041
92,South,Barley,2021-07-23,2021-10-27,2.94,7252,Flood,Clay,Nitrogen-based,Herbicide,699.9,27.7,43,No,2021,2021,2021-07,96,1323
93,West,Rice,2022-07-17,2022-11-29,19.62,87467,Flood,Peat,None,None,1047.7,29.1,59,no,2022,2022,2022-07,135,925
94,South,Soybean,2023-07-25,2023-10-24,18.0,52925,Sprinkler,Clay,Organic,Insecticide,1574.1,11.7,36,no,2023,2023,2023-07,91,596
95,South,Barley,2024-09-04,2025-02-03,16.12,48375,Drip,Clay,Mixed,Insecticide,1522.7,20.3,63,No,2024,2025,2024-09,152,128
96,South,Corn,2022-01-17,2022-05-04,24.81,97164,Unknown,Loam,Nitrogen-based,Insecticide,500.4,17.4,49,No,2022,2022,2022-01,107,1134
97,West,Rice,2020-11-29,2021-03-23,16.38,59584,Unknown,Sandy,None,Insecticide,374.0,11.8,29,Yes,2020,2021,2020-11,114,1541
98,South,Soybean,2022-01-28,2022-06-16,10.02,35246,Unknown,Clay,Phosphate-based,Fungicide,677.5,20.3,36,yes,2022,2022,2022-01,139,1091
99,South,Soybean,2021-12-28,2022-06-07,15.82,36639,Drip,Clay,None,Unknown,1019.1,25.4,51,yes,2021,2022,2021-12,161,1100
100,South,Corn,2021-03-05,2021-08-06,48.76,353010,Sprinkler,Peat,Phosphate-based,Unknown,1124.1,14.5,28,no,2021,2021,2021-03,154,1405
101,South,Rice,2023-10-04,2024-03-25,20.85,104779,None,Sandy,Phosphate-based,Fungicide,915.4,17.6,43,No,2023,2024,2023-10,173,443
102,South,Wheat,2021-06-30,2021-11-30,22.51,72787,Unknown,Clay,Phosphate-based,Herbicide,1359.9,26.0,69,yes,2021,2021,2021-06,153,1289
103,West,Rice,2023-12-08,2024-04-28,29.04,121339,None,Clay,Phosphate-based,Fungicide,912.4,24.5,48,no,2023,2024,2023-12,142,409
104,North,Wheat,2025-04-02,2025-09-26,49.18,137252,Sprinkler,Peat,None,Insecticide,1898.0,31.7,66,no,2025,2025,2025-04,177,-107
105,South,Cotton,2023-10-31,2024-03-31,12.46,24587,Sprinkler,Clay,Phosphate-based,Mixed,595.8,29.8,52,No,2023,2024,2023-10,152,437
106,West,Cotton,2023-08-20,2024-01-10,34.22,61369,Sprinkler,Sandy,Organic,Mixed,1292.0,34.1,57,No,2023,2024,2023-08,143,518
107,West,Rice,2020-05-26,2020-11-22,35.94,142387,Drip,Sandy,Organic,Insecticide,1261.6,24.9,59,No,2020,2020,2020-05,180,1662
108,South,Rice,2023-06-01,2023-10-25,30.56,97262,Drip,Silt,Mixed,Fungicide,635.0,27.5,40,No,2023,2023,2023-06,146,595
109,South,Barley,2023-07-24,2023-12-23,4.88,10762,None,Loam,Nitrogen-based,None,882.2,31.5,36,No,2023,2023,2023-07,152,536
110,West,Wheat,2020-12-16,2021-04-06,34.01,121941,Drip,Silt,Mixed,Insecticide,794.4,31.0,40,no,2020,2021,2020-12,111,1527
111,South,Soybean,2022-12-29,2023-04-08,3.67,6956,Flood,Peat,None,Fungicide,427.7,28.0,35,Yes,2022,2023,2022-12,100,795
112,North,Corn,2024-02-02,2024-07-13,30.01,169994,Flood,Sandy,Nitrogen-based,Fungicide,1006.9,22.5,67,no,2024,2024,2024-02,162,333
113,West,Soybean,2021-05-16,2021-08-17,37.11,66412,Sprinkler,Clay,None,Insecticide,834.7,16.8,52,No,2021,2021,2021-05,93,1394
114,West,Wheat,2020-11-30,2021-03-28,10.94,35919,Flood,Loam,Phosphate-based,Herbicide,438.8,31.9,47,no,2020,2021,2020-11,118,1536
115,West,Wheat,2022-08-04,2022-12-09,42.16,122541,Sprinkler,Clay,None,Mixed,954.8,29.4,70,yes,2022,2022,2022-08,127,915
116,West,Rice,2022-02-16,2022-05-21,2.0,9585,Unknown,Silt,Organic,Herbicide,901.5,30.9,41,No,2022,2022,2022-02,94,1117
117,North,Barley,2021-07-06,2021-11-08,42.27,112461,Flood,Sandy,Organic,Mixed,349.6,13.5,43,No,2021,2021,2021-07,125,1311
118,West,Soybean,2025-03-10,2025-07-06,23.29,40674,None,Sandy,Phosphate-based,Fungicide,349.3,17.9,35,No,2025,2025,2025-03,118,-25
119,South,Cotton,2023-08-03,2024-01-08,11.27,21904,Sprinkler,Loam,Organic,Insecticide,1330.3,20.6,28,no,2023,2024,2023-08,158,520
120,West,Corn,2023-11-10,2024-03-15,7.12,36452,Drip,Peat,Mixed,Unknown,1442.5,31.0,34,no,2023,2024,2023-11,126,453
121,North,Soybean,2023-02-14,2023-06-05,47.69,116864,Drip,Silt,Organic,Herbicide,1888.2,32.3,43,no,2023,2023,2023-02,111,737
122,North,Corn,2021-03-25,2021-08-20,4.1,22268,Sprinkler,Sandy,None,Mixed,265.3,17.1,60,Yes,2021,2021,2021-03,148,1391
123,South,Barley,2023-11-03,2024-04-13,10.36,26552,Drip,Peat,Nitrogen-based,Mixed,323.9,27.2,67,no,2023,2024,2023-11,162,424
124,North,Barley,2021-10-26,2022-03-28,17.72,40213,Drip,Loam,Mixed,Insecticide,198.5,11.9,63,yes,2021,2022,2021-10,153,1171
125,North,Barley,2024-09-22,2025-03-01,31.2,74260,Drip,Silt,Organic,Insecticide,1111.2,20.2,65,No,2024,2025,2024-09,160,102
126,West,Wheat,2024-04-22,2024-09-24,27.47,76034,Drip,Peat,Organic,Fungicide,1283.2,22.2,46,No,2024,2024,2024-04,155,260
127,South,Barley,2024-05-08,2024-08-20,6.72,17336,Flood,Silt,Phosphate-based,Insecticide,866.7,29.1,26,No,2024,2024,2024-05,104,295
128,East,Wheat,2020-04-24,2020-10-04,14.84,60588,Sprinkler,Clay,Organic,Fungicide,1616.0,32.3,57,yes,2020,2020,2020-04,163,1711
129,East,Cotton,2021-04-14,2021-07-27,12.32,29278,Drip,Peat,Phosphate-based,Herbicide,1404.7,18.4,64,no,2021,2021,2021-04,104,1415
130,North,Rice,2024-08-10,2024-12-12,11.07,48841,None,Peat,Organic,Mixed,1973.1,23.2,51,No,2024,2024,2024-08,124,181
131,East,Barley,2020-03-06,2020-08-12,20.85,62285,Flood,Peat,Nitrogen-based,Fungicide,362.0,26.2,43,No,2020,2020,2020-03,159,1764
132,East,Wheat,2024-07-06,2024-11-19,35.35,110818,None,Loam,Organic,Herbicide,210.8,18.2,70,No,2024,2024,2024-07,136,204
133,North,Soybean,2021-10-08,2022-03-16,11.26,29437,Drip,Sandy,Nitrogen-based,Mixed,622.1,34.6,28,No,2021,2022,2021-10,159,1183
134,East,Soybean,2022-04-01,2022-07-05,18.65,47766,Drip,Silt,Phosphate-based,Insecticide,136.2,31.9,43,no,2022,2022,2022-04,95,1072
135,West,Soybean,2021-07-02,2021-11-25,19.85,49923,Flood,Sandy,Phosphate-based,Herbicide,1872.0,17.4,49,No,2021,2021,2021-07,146,1294
136,South,Barley,2020-05-15,2020-10-21,48.83,93822,Unknown,Loam,Nitrogen-based,None,677.5,22.7,30,No,2020,2020,2020-05,159,1694
137,South,Soybean,2021-03-08,2021-07-03,47.76,112788,Unknown,Clay,Mixed,Fungicide,1149.6,15.8,37,no,2021,2021,2021-03,117,1439
138,South,Rice,2025-02-13,2025-07-07,40.11,154656,Drip,Silt,Organic,Mixed,704.3,22.9,46,No,2025,2025,2025-02,144,-26
139,North,Rice,2025-04-15,2025-07-27,12.46,44240,Drip,Sandy,Organic,Mixed,567.0,27.1,28,Yes,2025,2025,2025-04,103,-46
140,West,Rice,2023-03-07,2023-08-27,3.87,14188,Sprinkler,Silt,Phosphate-based,Fungicide,389.5,12.1,26,no,2023,2023,2023-03,173,654
141,South,Barley,2024-11-29,2025-03-30,16.19,47377,Drip,Sandy,Phosphate-based,None,708.7,31.8,27,yes,2024,2025,2024-11,121,73
142,North,Soybean,2024-01-10,2024-05-17,13.71,38221,Drip,Sandy,None,None,1269.3,24.8,70,no,2024,2024,2024-01,128,390
143,West,Wheat,2021-10-06,2022-01-08,25.54,80059,Unknown,Clay,Phosphate-based,Herbicide,1946.1,34.7,54,yes,2021,2022,2021-10,94,1250
144,South,Barley,2021-03-11,2021-08-05,39.0,121361,Unknown,Sandy,Nitrogen-based,Mixed,1160.4,10.6,28,No,2021,2021,2021-03,147,1406
145,North,Cotton,2023-09-04,2024-01-05,42.99,95783,Flood,Loam,Phosphate-based,Mixed,1112.1,30.8,67,Yes,2023,2024,2023-09,123,523
146,South,Corn,2022-10-19,2023-03-02,42.32,202087,Flood,Silt,Mixed,Herbicide,167.0,29.8,53,no,2022,2023,2022-10,134,832
147,South,Rice,2022-03-21,2022-06-30,18.3,78967,Drip,Clay,Nitrogen-based,Fungicide,1696.2,13.3,69,No,2022,2022,2022-03,101,1077
148,South,Soybean,2024-12-16,2025-05-11,34.52,63693,Unknown,Clay,Unknown,Insecticide,185.2,18.4,57,no,2024,2025,2024-12,146,31
149,West,Rice,2025-02-15,2025-05-31,15.99,60272,None,Peat,Phosphate-based,Unknown,1821.8,32.1,37,No,2025,2025,2025-02,105,11
150,East,Corn,2023-08-09,2023-12-07,3.51,16228,Sprinkler,Sandy,Phosphate-based,Insecticide,1123.5,23.0,63,no,2023,2023,2023-08,120,552
151,West,Rice,2022-07-28,2022-11-21,35.23,173289,Sprinkler,Peat,Organic,Mixed,420.1,20.0,56,no,2022,2022,2022-07,116,933
152,South,Rice,2020-10-19,2021-04-02,0.99,4160,Drip,Peat,Nitrogen-based,Herbicide,958.2,32.6,52,No,2020,2021,2020-10,165,1531
153,East,Soybean,2021-06-26,2021-12-21,20.75,41491,Sprinkler,Silt,Mixed,Mixed,1990.5,12.3,61,No,2021,2021,2021-06,178,1268
154,East,Rice,2020-10-12,2021-02-23,16.8,73193,Sprinkler,Loam,Organic,Herbicide,679.7,21.8,52,no,2020,2021,2020-10,134,1569
155,North,Corn,2021-05-20,2021-11-16,34.82,197858,Flood,Peat,Organic,None,612.0,26.3,51,yes,2021,2021,2021-05,180,1303
156,East,Soybean,2024-03-05,2024-08-20,38.43,94782,None,Silt,Organic,Herbicide,324.2,25.2,49,no,2024,2024,2024-03,168,295
157,West,Wheat,2023-02-23,2023-08-12,15.55,51480,None,Peat,Nitrogen-based,Mixed,1234.6,16.6,54,No,2023,2023,2023-02,170,669
158,South,Corn,2023-01-08,2023-06-01,40.68,127255,None,Peat,Mixed,Insecticide,269.5,24.1,30,yes,2023,2023,2023-01,144,741
159,South,Barley,2021-06-22,2021-10-11,15.05,25077,Flood,Loam,Phosphate-based,Fungicide,1555.4,27.7,54,No,2021,2021,2021-06,111,1339
160,East,Wheat,2024-03-09,2024-08-24,22.59,55788,Sprinkler,Sandy,Organic,Insecticide,1846.5,24.6,33,Yes,2024,2024,2024-03,168,291
161,North,Soybean,2023-04-12,2023-07-28,36.49,93264,Sprinkler,Clay,Phosphate-based,Insecticide,1870.6,27.1,30,No,2023,2023,2023-04,107,684
162,West,Corn,2022-05-27,2022-09-20,34.8,213989,None,Sandy,Phosphate-based,Mixed,305.0,16.4,53,No,2022,2022,2022-05,116,995
163,South,Soybean,2025-01-12,2025-05-08,49.37,102570,Drip,Peat,Nitrogen-based,Insecticide,1160.7,30.8,47,no,2025,2025,2025-01,116,34
164,South,Soybean,2023-04-10,2023-07-16,11.65,25395,Drip,Clay,Organic,Mixed,284.5,21.2,30,No,2023,2023,2023-04,97,696
165,South,Cotton,2022-03-28,2022-09-06,33.28,67444,Sprinkler,Sandy,Phosphate-based,None,1186.8,34.7,46,No,2022,2022,2022-03,162,1009
166,South,Barley,2022-01-11,2022-05-25,30.68,79560,Drip,Peat,Nitrogen-based,Fungicide,1648.5,10.6,26,no,2022,2022,2022-01,134,1113
167,South,Cotton,2021-03-25,2021-08-30,45.8,84054,None,Silt,Unknown,Fungicide,1121.8,19.5,55,No,2021,2021,2021-03,158,1381
168,East,Cotton,2020-10-10,2021-02-12,8.24,15438,Sprinkler,Silt,Nitrogen-based,Mixed,1756.9,14.5,30,no,2020,2021,2020-10,125,1580
169,North,Cotton,2022-11-09,2023-04-24,37.71,90294,Drip,Loam,Mixed,Herbicide,1623.2,23.9,66,No,2022,2023,2022-11,166,779
170,South,Wheat,2022-10-07,2023-03-14,28.63,100269,Drip,Sandy,Organic,Fungicide,625.4,16.1,29,no,2022,2023,2022-10,158,820
171,South,Soybean,2020-07-05,2020-10-24,14.1,35374,Unknown,Silt,Mixed,Insecticide,1297.2,28.4,44,No,2020,2020,2020-07,111,1691
172,South,Wheat,2024-03-27,2024-08-05,23.98,89793,Flood,Silt,None,Insecticide,114.1,32.0,36,No,2024,2024,2024-03,131,310
173,South,Corn,2020-04-06,2020-10-03,17.02,91597,Sprinkler,Peat,Phosphate-based,None,852.5,15.3,62,no,2020,2020,2020-04,180,1712
174,West,Wheat,2024-10-29,2025-03-05,29.18,102691,Flood,Clay,Organic,None,552.1,14.0,62,yes,2024,2025,2024-10,127,98
175,West,Wheat,2020-08-12,2020-12-17,44.51,116293,Drip,Peat,Organic,Mixed,1880.5,31.9,32,no,2020,2020,2020-08,127,1637
176,East,Corn,2020-11-09,2021-04-21,28.68,129339,Flood,Loam,Nitrogen-based,Fungicide,870.2,19.0,67,No,2020,2021,2020-11,163,1512
