Farm_ID,Region,Crop_Type,Planting_Date,Harvest_Date,Area_ha,Yield_kg,Irrigation_Type,Soil_Type,Fertilizer_Used,Pesticide_Used,Rainfall_mm,Avg_Temperature_C,Farmer_Age,Organic
26,North,Soybeans,23/02/2023,06/06/2023,22.77,62802,Drip,Cl ay,organik,Herbicide,1210.5,13.4,43,yes
27,West,Barley,11/02/2021,19/07/2021,34.8,100272,Floo d,Silt,Phosphate-based,Insectcide,1098.9,29.6,39,no
28,South,wheat,06/01/2024,28/04/2024,36.79,107198,Nne,loam,ORGANIC,insecticide,444.7,10.8,46,no
29,Soth,Barley,23/08/2023,06/01/2024,49.77,155089,Sprink ler,Lom,ORGANIC,Insectcide,633.2,34.8,44,No
30,west,Rice,07/12/2023,16/04/2024,14.73,59251,Sprinkler,Sandy,organik,mix ed,1096,30.7,67,No
31,West,Barley,21/01/2023,16/05/2023,27.14,82909,none,San dy,Nitrogen-based,Herbicid,1599.8,26.8,37,no
32,North,Rice,09/05/2022,04/10/2022,26.9,123131,dripp,Silt,organik,Fungicide,920.8,34.2,47,no
33,North,Soybeans,27/03/2021,09/07/2021,20.58,47211,Sprinkler,Silt,Mi xed,Nne,487.5,25.3,55,no
34,East,Soybeans,08/07/2022,08/11/2022,8.87,19396,Flod,Clay,Organic,Insecticide,267.1,11.4,50,no
35,East,Cotton,21/04/2023,13/10/2023,48.88,72500,Sprink ler,Cl ay,MIXED,Fungi cide,1359.7,24,69,yes
36,suoth,Wheat,23/07/2021,22/12/2021,42.74,130577,sprnkler,Peet,Nitrogen-based,herbicide,904.3,16.9,56,no
37,South,corn,15/07/2024,19/12/2024,25.17,134384,DRIp,Si lt,Nitrogen-based,insecticide,338.2,19.2,45,no
38,West,corn,15/11/2024,05/05/2025,30.36,121661,dripp,Clay,organik,Herbicide,1381.5,21.5,41,No
39,West,Soy,14/01/2020,23/05/2020,11.75,35633,None,Cl ay,Phosphate-based,Nne,494.4,29.4,53,no
40,suoth,Soy,03/04/2024,16/09/2024,27.42,60094,Dr ip,loam,Phyosphate-based,insecticide,1067.1,22.6,53,No
41,Soth,Soybean,08/07/2024,24/11/2024,34.9,59720,None,PEAT,Nitrogn-based,fungicid,681.8,21.9,46,yes
42,Soth,cotton,22/11/2020,09/05/2021,26,63659,Drip,San dy,none,Nne,1870.2,17.5,43,no
43,suoth,Cotton,30/11/2023,18/04/2024,49.52,69728,DRIp,Loam,MIXED,mix ed,533.7,23.5,38,no
44,Soth,Soybean,15/05/2022,27/10/2022,30.76,88021,Dr ip,silt,Mi xed,herbicide,897.8,16.2,63,no
45,East,Soybean,27/11/2021,11/03/2022,18.86,52250,None,peat,Nitrogen-based,Nne,1923,16.5,47,no
46,West,Corn,23/07/2021,04/12/2021,38.72,202879,sprnkler,Peat,Phosphate-based,Herbicide,705.6,28.9,65,No
47,suoth,Corn,14/11/2020,29/03/2021,8.94,41194,Sprinkler,peat,Nitrogn-based,Herbicide,1324.7,18.6,26,yes
48,West,rice,16/03/2021,11/08/2021,19.53,84011,none,clay,ORGANIC,none,701.8,11.3,56,no
49,North,Soybean,12/04/2024,28/09/2024,17.67,51122,Floo d,SANDY,Non,Fungi cide,310.3,18.6,62,No
50,East,Barley,20/11/2021,12/03/2022,21.87,52180,none,Lom,Nitrogn-based,Insectcide,1292.3,26,57,No
51,west,cotton,28/07/2020,20/01/2021,39.2,89882,Flod,Cl ay,Mixed,Insecticide,1840.5,30.3,31,no
52,East,Cotton,08/07/2020,04/01/2021,24.47,55773,None,Lom,None,mixed,959.9,34,58,Yes
53,suoth,Soybean,17/02/2022,25/06/2022,39.8,103873,Flod,Peet,nitrogen based,Insecticide,1289.7,28.7,28,no
54,west,wheat,17/07/2020,01/01/2021,29.04,80089,None,Si lt,mixd,Herbicide,1256.9,20.7,47,No
55,North,barlay,05/01/2022,19/06/2022,17.43,55652,SPRINKLER,peat,organik,herbicide,888.7,17.5,44,no
56,suoth,corn,01/10/2024,09/01/2025,40.59,218424,Dr ip,peat,Organic,herbicide,1268.3,13.2,46,no
57,South,cotton,05/12/2021,30/05/2022,12.3,20851,SPRINKLER,sand,phosphate based,Insectcide,592.7,25.7,70,No
58,West,Corn,21/05/2023,05/09/2023,11.61,54851,Dr ip,loam,organik,Herbicid,818.3,22.7,53,no
59,North,rice,25/06/2021,02/11/2021,25.47,114396,none,Cl ay,organik,Insectcide,940.4,26.9,67,yes
60,West,corn,10/07/2024,23/10/2024,13.41,68202,SPRINKLER,peat,Nitrogen-based,fungicid,1741.6,15.9,65,No
61,Soth,Corn,29/03/2020,27/07/2020,0.95,5523,none,Cl ay,Nitrogen-based,Fungi cide,761.8,18.1,61,no
62,South,Corn,03/02/2024,11/06/2024,32.59,154599,Floo d,San dy,mixd,fungicid,1306.8,17.3,27,no
63,South,cotton,29/07/2022,10/11/2022,25.8,43860,none,SANDY,Phosphate-based,Herbicide,505.5,29.9,46,no
64,North,Corn,03/01/2023,26/04/2023,22.55,149849,DRIp,PEAT,Nitrogen-based,Nne,579.9,14.3,44,no
65,South,barlay,12/09/2020,27/01/2021,48.36,101267,Sprink ler,clay,nitrogen based,insecticide,1332,25.2,49,No
66,west,Soybeans,03/03/2025,28/08/2025,28.77,66532,Dr ip,Cly,Mi xed,Herbicide,1548.4,11.3,58,no
67,South,rice,14/02/2022,02/06/2022,43.24,180217,Drip,Clay,Organic,none,978,23.7,66,no
68,West,Wheat,10/06/2020,12/11/2020,7.4,25483,SPRINKLER,Lom,organik,insecticide,736.7,11.6,53,no
69,West,Soybeans,04/02/2023,23/06/2023,28.68,78652,SPRINKLER,loam,Mi xed,Herbicid,1829.5,14.4,34,No
70,suoth,Wheat,23/08/2021,13/01/2022,43.46,175581,Floo d,clay,Mi xed,Fungi cide,358,12.8,63,no
71,West,Soy,25/08/2024,07/02/2025,29.36,72105,Dr ip,Cl ay,Organic,Herbicid,1469.4,18.7,61,no
72,suoth,wheat,11/07/2023,26/10/2023,36.04,93961,Sprinkler,Cly,Organic,mixed,1411.3,18.6,64,Yes
73,West,Soy,20/06/2023,30/11/2023,18.92,45741,Dr ip,LOAM,Nitrogen-based,Fungi cide,1411.5,30.7,44,Yes
74,west,Corn,18/12/2024,06/05/2025,5.08,24180,Drip,SANDY,none,none,1877.3,15.6,62,No
75,suoth,Cotton,30/10/2024,23/03/2025,23.17,45865,SPRINKLER,SANDY,Phosphate-based,Insectcide,1483.6,12.2,47,no
76,East,Cotton,10/01/2022,03/05/2022,20.03,34156,dripp,Peet,Non,insecticide,673,25.1,35,No
77,Soth,Wheat,28/03/2023,27/08/2023,43.42,145579,DRIp,peat,none,fungicid,771.5,27.2,32,no
78,North,corn,28/01/2021,18/07/2021,12.58,66398,Dr ip,Sandy,Nitrogn-based,Insectcide,843.1,17.4,53,No
79,West,cotton,13/12/2023,19/05/2024,48.35,78367,Sprink ler,SANDY,Mi xed,Insectcide,158.5,25.1,60,Yes
80,South,Corn,22/05/2020,16/11/2020,47.93,274448,Floo d,Peet,Nitrogen-based,Insecticide,1835.7,29.4,49,no
81,West,cotton,03/04/2020,22/09/2020,12.76,22413,Sprink ler,San dy,Nitrogen-based,herbicide,239.7,18.7,63,No
82,South,Soybeans,16/09/2023,06/01/2024,17.73,36460,DRIp,peat,Mi xed,mix ed,1429.6,23.1,58,no
83,Soth,Cotton,11/04/2021,19/09/2021,44.83,90834,SPRINKLER,sand,nitrogen based,Herbicid,1487.3,13.7,56,No
84,Soth,Barley,02/05/2024,21/08/2024,48.35,99683,sprnkler,Silt,Nitrogen-based,none,1703.1,10.6,65,No
85,Soth,rice,15/08/2021,14/01/2022,22.45,97740,none,LOAM,Nitrogen-based,Herbicide,1151.4,34.5,47,No
86,South,Soybeans,12/06/2020,16/10/2020,16.39,23526,none,Si lt,organik,MIXED,1478,17.5,45,no
87,West,wheat,17/10/2024,01/02/2025,26.54,67326,None,SANDY,Nitrogn-based,insecticide,675.2,17,43,No
88,Soth,rice,21/04/2021,12/08/2021,34.54,170803,DRIp,San dy,Nitrogn-based,Fungi cide,1516.6,34.3,49,no
89,west,barlay,09/11/2024,19/03/2025,14.04,35262,Flood,Cl ay,ORGANIC,Mixed,752.5,28.2,47,yes
90,suoth,Soybeans,25/07/2020,19/12/2020,36.96,85309,dripp,loam,Organic,Mixed,1815.4,24.6,43,No
91,South,Wheat,17/02/2022,05/08/2022,3.06,10933,Dr ip,Cl ay,ORGANIC,insecticide,410.4,27.5,29,no
92,South,barlay,23/07/2021,27/10/2021,2.94,7252,Floo d,Cly,Nitrogn-based,Herbicide,699.9,27.7,43,No
93,West,Rice,17/07/2022,29/11/2022,19.62,87467,Flood,peat,none,Nne,1047.7,29.1,59,no
94,South,Soybeans,25/07/2023,24/10/2023,18,52925,Sprink ler,clay,Organic,insecticide,1574.1,11.7,36,no
95,South,barlay,04/09/2024,03/02/2025,16.12,48375,Drip,Cly,MIXED,Insecticide,1522.7,20.3,63,No
96,Soth,Corn,17/01/2022,04/05/2022,24.81,97164,None,LOAM,nitrogen based,insecticide,500.4,17.4,49,No
97,West,rice,29/11/2020,23/03/2021,16.38,59584,None,Sandy,none,Insectcide,374,11.8,29,Yes
98,Soth,Soybean,28/01/2022,16/06/2022,10.02,35246,None,Clay,Phyosphate-based,Fungicide,677.5,20.3,36,yes
99,suoth,Soybean,28/12/2021,07/06/2022,15.82,36639,dripp,clay,none,None,1019.1,25.4,51,yes
100,suoth,Corn,05/03/2021,06/08/2021,48.76,353010,Sprinkler,peat,phosphate based,None,1124.1,14.5,28,no
101,Soth,Rice,04/10/2023,25/03/2024,20.85,104779,none,SANDY,phosphate based,fungicid,915.4,17.6,43,No
102,suoth,wheat,30/06/2021,30/11/2021,22.51,72787,None,Clay,Phosphate-based,Herbicide,1359.9,26,69,yes
103,West,Rice,08/12/2023,28/04/2024,29.04,121339,Nne,Clay,Phyosphate-based,Fungicide,912.4,24.5,48,no
104,North,Wheat,02/04/2025,26/09/2025,49.18,137252,sprnkler,PEAT,Non,insecticide,1898,31.7,66,no
105,Soth,Cotton,31/10/2023,31/03/2024,12.46,24587,sprnkler,clay,Phyosphate-based,mixed,595.8,29.8,52,No
106,west,cotton,20/08/2023,10/01/2024,34.22,61369,Sprinkler,Sandy,Organic,Mixed,1292,34.1,57,No
107,west,rice,26/05/2020,22/11/2020,35.94,142387,Drip,sand,ORGANIC,Insecticide,1261.6,24.9,59,No
108,South,Rice,01/06/2023,25/10/2023,30.56,97262,Dr ip,silt,MIXED,Fungicide,635,27.5,40,No
109,suoth,Barley,24/07/2023,23/12/2023,4.88,10762,none,loam,Nitrogn-based,Nne,882.2,31.5,36,No
110,west,Wheat,16/12/2020,06/04/2021,34.01,121941,Drip,silt,Mi xed,Insecticide,794.4,31,40,no
111,South,Soy,29/12/2022,08/04/2023,3.67,6956,Flod,peat,Non,Fungi cide,427.7,28,35,Yes
112,North,corn,02/02/2024,13/07/2024,30.01,169994,flood,San dy,Nitrogn-based,Fungicide,1006.9,22.5,67,no
113,West,Soy,16/05/2021,17/08/2021,37.11,66412,sprnkler,Clay,none,Insectcide,834.7,16.8,52,No
114,West,wheat,30/11/2020,28/03/2021,10.94,35919,Floo d,LOAM,Phosphate-based,Herbicide,438.8,31.9,47,no
115,West,Wheat,04/08/2022,09/12/2022,42.16,122541,sprnkler,Cl ay,Non,Mixed,954.8,29.4,70,yes
116,west,rice,16/02/2022,21/05/2022,2,9585,None,Silt,Organic,herbicide,901.5,30.9,41,No
117,North,barlay,06/07/2021,08/11/2021,42.27,112461,flood,San dy,organik,Mixed,349.6,13.5,43,No
118,west,Soybeans,10/03/2025,06/07/2025,23.29,40674,none,San dy,phosphate based,Fungicide,349.3,17.9,35,No
119,suoth,cotton,03/08/2023,08/01/2024,11.27,21904,Sprink ler,LOAM,Organic,Insecticide,1330.3,20.6,28,no
120,west,corn,10/11/2023,15/03/2024,7.12,36452,Drip,Peat,Mixed,None,1442.5,31,34,no
121,North,Soy,14/02/2023,05/06/2023,47.69,116864,Dr ip,Si lt,Organic,herbicide,1888.2,32.3,43,no
122,North,corn,25/03/2021,20/08/2021,4.1,22268,sprnkler,sand,none,MIXED,265.3,17.1,60,Yes
123,suoth,Barley,03/11/2023,13/04/2024,10.36,26552,DRIp,peat,Nitrogen-based,Mixed,323.9,27.2,67,no
124,North,Barley,26/10/2021,28/03/2022,17.72,40213,Drip,Lom,Mi xed,insecticide,198.5,11.9,63,yes
125,North,barlay,22/09/2024,01/03/2025,31.2,74260,dripp,Si lt,Organic,Insectcide,1111.2,20.2,65,No
126,West,wheat,22/04/2024,24/09/2024,27.47,76034,dripp,Peat,Organic,Fungicide,1283.2,22.2,46,No
127,suoth,Barley,08/05/2024,20/08/2024,6.72,17336,flood,silt,phosphate based,Insectcide,866.7,29.1,26,No
128,East,Wheat,24/04/2020,04/10/2020,14.84,60588,SPRINKLER,Clay,ORGANIC,Fungicide,1616,32.3,57,yes
129,East,cotton,14/04/2021,27/07/2021,12.32,29278,DRIp,Peet,Phyosphate-based,Herbicid,1404.7,18.4,64,no
130,North,rice,10/08/2024,12/12/2024,11.07,48841,Nne,PEAT,organik,Mixed,1973.1,23.2,51,No
131,East,barlay,06/03/2020,12/08/2020,20.85,62285,Flood,peat,Nitrogn-based,fungicid,362,26.2,43,No
132,East,Wheat,06/07/2024,19/11/2024,35.35,110818,Nne,Loam,organik,Herbicid,210.8,18.2,70,No
133,North,Soybean,08/10/2021,16/03/2022,11.26,29437,Drip,Sandy,Nitrogn-based,Mixed,622.1,34.6,28,No
134,East,Soybeans,01/04/2022,05/07/2022,18.65,47766,Dr ip,silt,phosphate based,Insectcide,136.2,31.9,43,no
135,west,Soybeans,02/07/2021,25/11/2021,19.85,49923,Flod,sand,phosphate based,Herbicide,1872,17.4,49,No
136,South,Barley,15/05/2020,21/10/2020,48.83,93822,None,loam,Nitrogn-based,none,677.5,22.7,30,No
137,suoth,Soybean,08/03/2021,03/07/2021,47.76,112788,None,Clay,MIXED,fungicid,1149.6,15.8,37,no
138,South,Rice,13/02/2025,07/07/2025,40.11,154656,DRIp,Si lt,organik,MIXED,704.3,22.9,46,No
139,North,Rice,15/04/2025,27/07/2025,12.46,44240,dripp,SANDY,organik,Mixed,567,27.1,28,Yes
140,West,rice,07/03/2023,27/08/2023,3.87,14188,Sprinkler,silt,Phosphate-based,Fungicide,389.5,12.1,26,no
141,suoth,Barley,29/11/2024,30/03/2025,16.19,47377,DRIp,sand,Phosphate-based,Nne,708.7,31.8,27,yes
142,North,Soy,10/01/2024,17/05/2024,13.71,38221,DRIp,Sandy,none,none,1269.3,24.8,70,no
143,West,Wheat,06/10/2021,08/01/2022,25.54,80059,None,Cly,Phosphate-based,Herbicid,1946.1,34.7,54,yes
144,South,Barley,11/03/2021,05/08/2021,39,121361,None,SANDY,Nitrogen-based,MIXED,1160.4,10.6,28,No
145,North,Cotton,04/09/2023,05/01/2024,42.99,95783,Flood,Lom,phosphate based,mixed,1112.1,30.8,67,Yes
146,suoth,corn,19/10/2022,02/03/2023,42.32,202087,Flod,Si lt,Mixed,herbicide,167,29.8,53,no
147,suoth,rice,21/03/2022,30/06/2022,18.3,78967,Drip,Cly,nitrogen based,Fungi cide,1696.2,13.3,69,No
148,Soth,Soybeans,16/12/2024,11/05/2025,34.52,63693,None,Cl ay,None,insecticide,185.2,18.4,57,no
149,west,Rice,15/02/2025,31/05/2025,15.99,60272,none,Peet,Phosphate-based,None,1821.8,32.1,37,No
150,East,Corn,09/08/2023,07/12/2023,3.51,16228,sprnkler,SANDY,phosphate based,insecticide,1123.5,23,63,no
151,West,Rice,28/07/2022,21/11/2022,35.23,173289,Sprink ler,PEAT,organik,Mixed,420.1,20,56,no
152,Soth,rice,19/10/2020,02/04/2021,0.99,4160,Dr ip,PEAT,Nitrogn-based,herbicide,958.2,32.6,52,No
153,East,Soybeans,26/06/2021,21/12/2021,20.75,41491,Sprink ler,Si lt,Mi xed,MIXED,1990.5,12.3,61,No
154,East,rice,12/10/2020,23/02/2021,16.8,73193,Sprink ler,Lom,ORGANIC,herbicide,679.7,21.8,52,no
155,North,corn,20/05/2021,16/11/2021,34.82,197858,Floo d,peat,organik,none,612,26.3,51,yes
156,East,Soybeans,05/03/2024,20/08/2024,38.43,94782,none,Si lt,organik,Herbicide,324.2,25.2,49,no
157,west,wheat,23/02/2023,12/08/2023,15.55,51480,Nne,Peat,nitrogen based,Mixed,1234.6,16.6,54,No
158,suoth,Corn,08/01/2023,01/06/2023,40.68,127255,none,Peet,MIXED,Insecticide,269.5,24.1,30,yes
159,Soth,Barley,22/06/2021,11/10/2021,15.05,25077,Flod,Loam,Phosphate-based,Fungi cide,1555.4,27.7,54,No
160,East,wheat,09/03/2024,24/08/2024,22.59,55788,SPRINKLER,sand,ORGANIC,insecticide,1846.5,24.6,33,Yes
161,North,Soybean,12/04/2023,28/07/2023,36.49,93264,Sprinkler,clay,Phosphate-based,Insectcide,1870.6,27.1,30,No
162,west,Corn,27/05/2022,20/09/2022,34.8,213989,none,Sandy,Phosphate-based,Mixed,305,16.4,53,No
163,South,Soybeans,12/01/2025,08/05/2025,49.37,102570,Drip,Peat,nitrogen based,Insecticide,1160.7,30.8,47,no
164,suoth,Soybeans,10/04/2023,16/07/2023,11.65,25395,dripp,clay,Organic,Mixed,284.5,21.2,30,No
165,suoth,Cotton,28/03/2022,06/09/2022,33.28,67444,Sprinkler,SANDY,Phosphate-based,Nne,1186.8,34.7,46,No
166,Soth,barlay,11/01/2022,25/05/2022,30.68,79560,Drip,peat,Nitrogen-based,Fungicide,1648.5,10.6,26,no
167,suoth,Cotton,25/03/2021,30/08/2021,45.8,84054,none,Silt,None,fungicid,1121.8,19.5,55,No
168,East,cotton,10/10/2020,12/02/2021,8.24,15438,SPRINKLER,Silt,nitrogen based,MIXED,1756.9,14.5,30,no
169,North,Cotton,09/11/2022,24/04/2023,37.71,90294,dripp,LOAM,Mi xed,herbicide,1623.2,23.9,66,No
170,suoth,Wheat,07/10/2022,14/03/2023,28.63,100269,DRIp,Sandy,ORGANIC,Fungicide,625.4,16.1,29,no
171,suoth,Soybean,05/07/2020,24/10/2020,14.1,35374,None,silt,Mi xed,Insecticide,1297.2,28.4,44,No
172,South,wheat,27/03/2024,05/08/2024,23.98,89793,Flood,silt,Non,Insecticide,114.1,32,36,No
173,South,corn,06/04/2020,03/10/2020,17.02,91597,Sprinkler,Peet,Phyosphate-based,Nne,852.5,15.3,62,no
174,West,wheat,29/10/2024,05/03/2025,29.18,102691,Floo d,Clay,Organic,Nne,552.1,14,62,yes
175,west,wheat,12/08/2020,17/12/2020,44.51,116293,DRIp,peat,ORGANIC,Mixed,1880.5,31.9,32,no
176,East,Corn,09/11/2020,21/04/2021,28.68,129339,Floo d,loam,nitrogen based,Fungi cide,870.2,19,67,No
177,suoth,Soybeans,09/07/2023,10/11/2023,31.77,71509,Flod,Silt,nitrogen based,Insecticide,1342.7,20.9,57,No
178,suoth,cotton,23/11/2020,27/04/2021,26.18,51678,sprnkler,sand,phosphate based,Mixed,1490.8,15.5,63,yes
179,North,cotton,10/06/2024,03/12/2024,3.03,6114,Floo d,loam,Phosphate-based,none,1569.1,20.6,64,No
180,West,corn,25/10/2023,04/02/2024,12.03,63074,dripp,Loam,nitrogen based,Fungicide,1498,15.8,55,No
181,west,Soybean,14/05/2022,29/08/2022,24.85,80511,Dr ip,Lom,MIXED,MIXED,649.4,26.6,27,no
182,West,Corn,06/05/2023,25/09/2023,15.86,87879,None,SANDY,Nitrogn-based,Mixed,1403.5,22.5,43,no
183,Soth,Rice,10/05/2020,15/08/2020,9.5,35065,sprnkler,Cl ay,organik,Insecticide,1143.1,29.7,32,no
184,west,rice,27/02/2022,02/07/2022,25.45,101750,Sprink ler,Loam,Organic,Fungi cide,1235,17.8,54,yes
185,suoth,Cotton,20/02/2022,12/08/2022,16.48,40400,SPRINKLER,Sandy,Nitrogen-based,Insecticide,101.5,22.6,55,No
186,suoth,rice,05/05/2023,19/08/2023,13.28,59350,None,PEAT,Phyosphate-based,Mixed,590.7,16.5,53,No
187,west,rice,16/08/2022,11/02/2023,23.47,114887,DRIp,clay,none,insecticide,1868.3,33.4,30,no
188,suoth,Barley,19/12/2022,04/04/2023,7.1,18440,Nne,Sandy,Organic,Fungi cide,651.1,23,26,No
189,East,rice,29/05/2021,27/09/2021,46.42,165858,Sprink ler,Cly,Organic,none,932.2,14.3,47,yes
190,west,cotton,07/02/2023,26/05/2023,43.45,77814,Nne,PEAT,nitrogen based,insecticide,454.7,16.8,68,No
191,West,Cotton,28/10/2024,08/03/2025,35.53,66775,Floo d,Si lt,organik,insecticide,363.3,12.1,54,yes
192,west,Cotton,14/04/2025,13/08/2025,5.76,9682,Drip,Loam,Organic,Fungicide,496.5,10.7,62,no
193,suoth,Wheat,24/01/2020,18/07/2020,38.91,121898,dripp,silt,nitrogen based,fungicid,1151.9,23.1,70,no
194,East,Soybean,25/10/2023,13/03/2024,40.49,105968,Flod,PEAT,phosphate based,mix ed,1846.2,18.4,63,no
195,East,Barley,16/01/2024,16/06/2024,38.5,129448,DRIp,peat,ORGANIC,Fungi cide,719.8,34.1,33,No
196,Soth,rice,22/08/2020,08/12/2020,6.14,18075,None,peat,nitrogen based,herbicide,714.5,14.3,31,yes
197,West,barlay,28/10/2023,08/04/2024,32.37,77800,DRIp,San dy,Non,Mixed,1171.9,29.8,68,Yes
198,South,Rice,17/12/2024,05/06/2025,41.8,187403,none,clay,MIXED,Nne,777.8,17.9,39,No
199,South,wheat,04/01/2023,08/05/2023,29.08,89640,flood,Peet,ORGANIC,Fungicide,1829.8,15.6,39,no
200,west,Soybeans,17/03/2024,03/09/2024,32.5,81796,sprnkler,silt,Mi xed,MIXED,817.9,34.2,45,No
201,Soth,Wheat,30/06/2021,20/11/2021,23.19,82758,Drip,Silt,Mi xed,Nne,1031.8,30.1,38,no
202,North,Cotton,23/04/2024,08/09/2024,26.67,45259,Sprinkler,Cly,phosphate based,Mixed,1113.4,25.8,35,no
203,west,Cotton,05/08/2023,30/12/2023,2.2,3919,none,San dy,None,Fungi cide,1585.9,27.4,35,No
204,Soth,Soy,27/11/2021,06/03/2022,32.13,70125,SPRINKLER,Sandy,nitrogen based,Insectcide,1171.4,34.8,44,No
205,West,Barley,16/08/2020,03/02/2021,4.53,8854,Floo d,Clay,Non,Herbicid,554.4,24.8,37,No
206,West,rice,24/08/2021,03/12/2021,22.03,89875,Flod,LOAM,mixd,Insecticide,335.6,12.5,69,No
207,West,Barley,09/06/2022,28/10/2022,14.99,38680,dripp,clay,phosphate based,mixed,1881.8,11.6,54,Yes
208,West,Soy,19/11/2020,23/04/2021,27.5,61191,dripp,clay,Mi xed,Herbicide,1623,26.7,64,No
209,West,wheat,18/07/2022,20/11/2022,7.1,18381,None,Silt,Phosphate-based,insecticide,143.6,26.4,63,yes
210,Soth,Barley,07/01/2020,03/07/2020,34.74,97013,Sprink ler,LOAM,nitrogen based,none,1660.9,28.7,44,no
211,Soth,Cotton,18/01/2024,03/06/2024,39.85,70153,Sprinkler,Cly,nitrogen based,herbicide,1222.1,12.7,69,no
212,East,cotton,28/11/2024,25/04/2025,8.59,17750,DRIp,Clay,Nitrogen-based,Fungi cide,1085.9,33.6,67,No
213,South,Corn,13/01/2024,13/06/2024,5.66,30249,Floo d,loam,Nitrogn-based,Herbicid,123.2,23.8,62,Yes
214,suoth,Cotton,23/06/2021,01/11/2021,7.7,14719,Nne,Sandy,Phosphate-based,mixed,1583.6,26.2,32,Yes
215,West,Wheat,22/10/2022,04/04/2023,43.92,124596,None,sand,MIXED,Insectcide,476.3,10.9,61,No
216,North,Soybean,09/04/2024,08/07/2024,26.65,68478,none,sand,nitrogen based,Insectcide,1483.2,34,66,no
217,suoth,Soy,31/12/2020,11/04/2021,23.63,58819,Drip,Cl ay,mixd,None,130.1,24.1,57,no
218,Soth,Rice,05/11/2022,02/04/2023,5.78,27732,None,silt,mixd,mixed,1613.1,24.1,50,No
219,North,Soybeans,12/02/2025,02/08/2025,32.65,85521,Sprinkler,clay,nitrogen based,Herbicide,143.8,33.6,68,No
220,North,Rice,05/08/2020,27/01/2021,43.47,202455,dripp,LOAM,ORGANIC,insecticide,548.2,33.2,63,No
221,North,Cotton,17/11/2024,15/05/2025,41.5,90600,Nne,clay,Phosphate-based,Insecticide,609.7,15.5,32,No
